,Country Name,Country Code,Year,GDP (current US$),GDP growth (annual %),"GNI, Atlas method (current US$)",Gross capital formation (% of GDP),High-technology exports (% of manufactured exports),"Immunization, measles (% of children ages 12-23 months)",Income share held by lowest 20%,"Industry (including construction), value added (% of GDP)","Inflation, GDP deflator (annual %)","Life expectancy at birth, total (years)",Population growth (annual %),Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),Poverty headcount ratio at national poverty lines (% of population),"School enrollment, primary and secondary (gross), gender parity index (GPI)","Total debt service (% of exports of goods, services and primary income)",income,gdp_growth,inequality,inflation,life_exp,poverty,school_enroll,income_num,gdp_growth_num,inequality_num,inflation_num,life_exp_num,poverty_num,school_enroll_num
1223,Kazakhstan,KAZ,2018,179339977690.485,4.09999999309841,147576694028.709,25.258212709599,23.5707068133801,99.0,9.8,33.4962004017876,9.20560599766662,73.369,1.49423322942686,0.1,4.3,1.01218998432159,49.7842789313445,medium,high,very high,very low,medium,very high,high,2.0,3.0,4.0,0.0,2.0,4.0,3.0
1224,Kazakhstan,KAZ,2019,181667184854.501,4.50000000091883,163361644199.513,27.6275749485747,29.2897210078218,99.0,9.8,33.028795913527,7.63328623733945,73.658,1.45157995956237,0.1,4.3,1.01346004009247,48.8739232570914,medium,high,very high,very low,medium,very high,high,2.0,3.0,4.0,0.0,2.0,4.0,3.0
1225,Kazakhstan,KAZ,2020,171082365861.423,-2.49999999628,163276500343.564,28.8069153648376,34.0989696117001,93.0,9.8,33.0977971542858,4.21085829258907,71.195,1.4089156380377,0.0,5.3,0.999840021133423,64.0774877263295,medium,very low,very high,medium,low,very high,medium,2.0,0.0,4.0,2.0,1.0,4.0,2.0
1226,Kazakhstan,KAZ,2021,197112255360.612,4.29999999729456,168692843270.05,26.5334355873452,27.3435440636149,97.0,9.8,35.2669295966944,13.9300750551614,70.131,1.33325722721198,0.0,5.2,,44.249543629459,medium,high,very high,very low,low,very high,,2.0,3.0,4.0,0.0,1.0,4.0,2.0
1227,Kazakhstan,KAZ,2022,225496328925.494,3.19999999970734,188688263602.478,24.9759095791804,32.2666497110269,99.0,,34.9793974237581,19.7690064802492,73.503,1.46316879039749,,5.2,,51.1629261851802,high,medium,,very low,medium,,,3.0,2.0,2.0,0.0,2.0,3.0,2.0
1228,Kazakhstan,KAZ,2023,261840101059.923,5.09999999973641,217357742267.282,28.157135537565,34.4293373196596,99.0,,32.4284843310401,9.52224688275005,74.402,1.46415151694869,,5.2,,50.2633943567233,high,high,,very low,medium,,,3.0,3.0,2.0,0.0,2.0,3.0,2.0
1229,Kazakhstan,KAZ,2024,291480274648.826,4.99999999996936,248963165103.521,27.2119249591734,42.19530029659,93.0,,32.112807813811,8.9933163485769,,1.28276364646616,,5.0,,48.4343756201676,high,high,,very low,,,,3.0,3.0,2.0,0.0,3.0,3.0,2.0
1230,Kenya,KEN,2015,70120446896.8359,4.96772112759767,62095754502.3638,22.1033982020293,4.3660951885799,96.0,6.2,18.8940456983605,9.23865468396285,62.279,2.2270329432256,37.7,36.1,,8.33004713955533,medium,high,low,very low,very low,very low,,2.0,3.0,1.0,0.0,0.0,0.0,2.0
1231,Kenya,KEN,2016,74815144163.8931,4.21351706814744,71748257092.2357,19.3484358309332,7.58623435569943,93.0,,18.1621592865164,5.84962894648808,62.526,2.20775684612709,,,,11.1736382993382,medium,high,,low,very low,,,2.0,3.0,1.0,1.0,0.0,2.0,2.0
1232,Kenya,KEN,2017,82036510877.2599,3.83795817364721,75691962706.1825,20.6634949022773,3.34859041785183,84.0,,17.5035092078691,7.58193402820181,62.725,2.17412854990493,,,,14.5974443871521,medium,high,,very low,very low,,,2.0,3.0,1.0,0.0,0.0,2.0,2.0
